YearMonth,Flavor,Units_Sold
2018-06-01,CarmelPraline,26642
2020-02-01,RockyRoad,58062
2019-12-01,RockyRoad,110017
2021-11-01,ButterPecan,73886
2017-01-01,ButterPecan,19752
2020-05-01,ButterPecan,77366
2023-09-01,ButterPecan,164932
2017-08-01,ButterPecan,110093
2018-03-01,RockyRoad,54582
2018-04-01,CarmelPraline,20847
2018-02-01,ButterPecan,22598
2022-12-01,ButterPecan,71196
2017-10-01,RockyRoad,130971
2023-02-01,ButterPecan,36262
2018-10-01,CarmelPraline,18239
2018-07-01,CarmelPraline,43923
2022-08-01,CarmelPraline,78008
2020-03-01,RockyRoad,88104
2022-11-01,CarmelPraline,32700
2017-06-01,CarmelPraline,23387
2020-12-01,CarmelPraline,22195
2021-03-01,ButterPecan,49276
2023-05-01,ButterPecan,100094
2018-12-01,CarmelPraline,16832
2020-02-01,ButterPecan,28459
2020-07-01,RockyRoad,327842
2023-05-01,CarmelPraline,43276
2017-04-01,ButterPecan,51471
2020-10-01,CarmelPraline,24682
2020-12-01,RockyRoad,116683
2022-08-01,RockyRoad,342436
2020-11-01,CarmelPraline,24137
2018-06-01,ButterPecan,81325
2017-11-01,RockyRoad,128136
2021-12-01,RockyRoad,116484
2017-07-01,CarmelPraline,37096
2023-01-01,RockyRoad,61352
2023-12-01,CarmelPraline,33968
2023-11-01,RockyRoad,148382
2022-09-01,RockyRoad,273724
2019-09-01,ButterPecan,119238
2022-02-01,RockyRoad,62456
2023-03-01,ButterPecan,58650
2017-09-01,RockyRoad,256092
2017-04-01,CarmelPraline,16706
2020-07-01,ButterPecan,155322
2020-08-01,ButterPecan,154560
2023-10-01,RockyRoad,146499
2018-05-01,RockyRoad,167136
2020-03-01,ButterPecan,42383
2021-05-01,RockyRoad,181412
2019-01-01,RockyRoad,55791
2023-12-01,RockyRoad,130695
2018-10-01,RockyRoad,135182
2021-06-01,RockyRoad,239971
2019-02-01,ButterPecan,24614
2021-12-01,ButterPecan,63628
2017-03-01,CarmelPraline,9940
2018-07-01,ButterPecan,126168
2018-09-01,RockyRoad,266612
2022-01-01,CarmelPraline,13796
2017-08-01,CarmelPraline,36849
2019-05-01,RockyRoad,165986
2020-08-01,CarmelPraline,54557
2019-11-01,ButterPecan,60025
2019-10-01,ButterPecan,63168
2017-04-01,RockyRoad,166484
2018-09-01,CarmelPraline,37135
2022-02-01,ButterPecan,33973
2020-07-01,CarmelPraline,55905
2017-10-01,ButterPecan,47796
2021-08-01,RockyRoad,334566
2023-08-01,ButterPecan,196132
2018-01-01,ButterPecan,23524
2021-09-01,CarmelPraline,55441
2017-02-01,RockyRoad,62211
2023-09-01,CarmelPraline,72772
2023-05-01,RockyRoad,189504
2020-05-01,RockyRoad,161933
2019-11-01,RockyRoad,123662
2017-12-01,ButterPecan,43397
2023-03-01,RockyRoad,111392
2019-04-01,ButterPecan,65886
2023-10-01,CarmelPraline,36140
2020-09-01,ButterPecan,128792
2022-04-01,RockyRoad,166119
2021-02-01,ButterPecan,32237
2018-01-01,RockyRoad,56196
2018-02-01,RockyRoad,62333.5
